"region","innvandringskategori","landbakgrunn","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Sverige",3,3,4,4,4,0.14,0.14,0.19,0.19,0.19
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,3,3,0,0,0.00,0.05,0.05,0.00,0.00
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Estland",3,3,4,6,8,0.14,0.14,0.19,0.28,0.37
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",5,5,4,4,4,0.23,0.23,0.19,0.19,0.19
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Danmark",8,9,9,8,6,0.37,0.42,0.42,0.37,0.28
"1573 Smøla","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Finland",3,3,3,0,3,0.14,0.14,0.14,0.00,0.05
"1573 Smøla","Innvandrere","Færøyene",3,3,3,0,0,0.05,0.05,0.05,0.00,0.00
"1573 Smøla","Innvandrere","Island",5,5,5,5,8,0.23,0.23,0.23,0.23,0.37
"1573 Smøla","Innvandrere","Sverige",3,3,4,4,4,0.14,0.14,0.19,0.19,0.19
"1573 Smøla","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Bosnia-Hercegovina",0,0,0,0,3,0.00,0.00,0.00,0.00,0.05
"1573 Smøla","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Estland",3,3,4,6,8,0.14,0.14,0.19,0.28,0.37
"1573 Smøla","Innvandrere","Frankrike",5,5,4,4,4,0.23,0.23,0.19,0.19,0.19
"1573 Smøla","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Danmark",3,0,0,0,0,0.05,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1573 Smøla","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Danmark",3,3,3,3,3,0.08,0.08,0.08,0.06,0.06
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,3,3,0.00,0.00,0.00,0.06,0.06
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Island",6,6,6,6,6,0.17,0.17,0.17,0.17,0.17
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Sverige",5,6,5,6,4,0.14,0.17,0.14,0.17,0.11
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",6,5,4,4,4,0.17,0.14,0.11,0.11,0.11
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",3,0,0,0,0,0.06,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,3,3,3,5,0.00,0.08,0.08,0.08,0.14
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,3,3,0.00,0.00,0.00,0.03,0.03
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Danmark",3,3,3,3,3,0.08,0.08,0.08,0.06,0.06
"1576 Aure","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Finland",0,0,0,3,3,0.00,0.00,0.00,0.06,0.06
"1576 Aure","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Island",6,6,6,6,6,0.17,0.17,0.17,0.17,0.17
"1576 Aure","Innvandrere","Sverige",5,6,5,6,4,0.14,0.17,0.14,0.17,0.11
"1576 Aure","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Bosnia-Hercegovina",5,4,3,3,3,0.14,0.11,0.08,0.08,0.08
"1576 Aure","Innvandrere","Bulgaria",3,0,0,0,0,0.06,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Estland",0,3,3,3,3,0.00,0.08,0.08,0.06,0.08
"1576 Aure","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,3,0,0.00,0.00,0.00,0.03,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,3,0.00,0.00,0.00,0.00,0.06
"1576 Aure","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1576 Aure","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"1599 Uoppgitt kommune Møre og Romsdal","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"50 Trøndelag","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Danmark",531,550,588,581,588,0.18,0.18,0.19,0.19,0.19
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Grønland",15,15,14,14,11,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Finland",242,261,270,285,300,0.08,0.09,0.09,0.09,0.09
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",26,28,32,28,29,0.01,0.01,0.01,0.01,0.01
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Island",241,240,231,211,221,0.08,0.08,0.07,0.07,0.07
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Sverige",1616,1698,1721,1755,1779,0.53,0.55,0.56,0.56,0.56
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Albania",17,19,19,26,26,0.01,0.01,0.01,0.01,0.01
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Belgia",65,72,86,86,102,0.02,0.02,0.03,0.03,0.03
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",688,686,675,666,669,0.23,0.22,0.22,0.21,0.21
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",235,304,370,440,482,0.08,0.10,0.12,0.14,0.15
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Estland",354,374,412,424,407,0.12,0.12,0.13,0.14,0.13
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",414,358,350,366,360,0.14,0.12,0.11,0.12,0.11
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,3,3,3,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere","Danmark",479,495,531,520,528,0.16,0.16,0.17,0.17,0.17
"16 Sør-Trøndelag","Innvandrere","Grønland",13,13,12,12,9,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere","Finland",221,239,247,260,269,0.07,0.08,0.08,0.08,0.08
"16 Sør-Trøndelag","Innvandrere","Færøyene",21,23,26,23,24,0.01,0.01,0.01,0.01,0.01
"16 Sør-Trøndelag","Innvandrere","Island",215,212,205,188,195,0.07,0.07,0.07,0.06,0.06
"16 Sør-Trøndelag","Innvandrere","Sverige",1540,1616,1640,1640,1657,0.51,0.53,0.53,0.52,0.52
"16 Sør-Trøndelag","Innvandrere","Albania",15,17,17,23,23,0.00,0.01,0.01,0.01,0.01
"16 Sør-Trøndelag","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere","Belgia",61,66,80,81,94,0.02,0.02,0.03,0.03,0.03
"16 Sør-Trøndelag","Innvandrere","Bosnia-Hercegovina",582,578,567,552,551,0.19,0.19,0.18,0.18,0.17
"16 Sør-Trøndelag","Innvandrere","Bulgaria",225,295,353,418,447,0.07,0.10,0.11,0.13,0.14
"16 Sør-Trøndelag","Innvandrere","Estland",337,356,388,391,374,0.11,0.12,0.13,0.12,0.12
"16 Sør-Trøndelag","Innvandrere","Frankrike",380,320,311,326,319,0.13,0.10,0.10,0.10,0.10
"16 Sør-Trøndelag","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Innvandrere","Guernsey",0,0,3,3,3,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Danmark",52,55,57,61,60,0.02,0.02,0.02,0.02,0.02
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Grønland",3,3,0,0,3,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Finland",21,22,23,25,31,0.01,0.01,0.01,0.01,0.01
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Færøyene",5,5,6,5,5,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Island",26,28,26,23,26,0.01,0.01,0.01,0.01,0.01
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Sverige",76,82,81,115,122,0.03,0.03,0.03,0.04,0.04
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Albania",0,3,3,3,3,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Belgia",4,6,6,5,8,0.00,0.00,0.00,0.00,0.00
"16 Sør-Trøndelag","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",106,108,108,114,118,0.04,0.04,0.03,0.04,0.04
